+-----------+-------------+-------------+-------------+-------------+-------------+
|  JIRA_ID  |   VCA-5.2   |  VCA-master |   VCA-4.0   |   VCA-5.1   |   VCA-5.0   |
+-----------+-------------+-------------+-------------+-------------+-------------+
| VRS-12011 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12226 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12630 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12633 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12632 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12635 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12634 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12637 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12221 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12639 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12543 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12185 |      -      | Needs merge | Needs merge |      -      |      -      |
| VRS-12183 |      -      | Needs merge |      -      | Needs merge |      -      |
| VRS-12182 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12181 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11982 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-11986 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11987 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11984 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11985 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11988 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12456 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12451 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12453 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12452 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12353 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12351 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12356 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12458 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12354 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12355 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11939 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-11937 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-11935 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-11933 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-11931 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12178 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12174 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12175 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12172 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12173 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12170 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12077 |      -      | Needs merge | Needs merge |      -      |      -      |
| VRS-12075 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12073 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12072 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12071 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12070 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12079 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12227 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12573 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12571 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12576 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12574 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12575 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12578 | Needs merge | Needs merge | Needs merge |      -      |      -      |
| VRS-12491 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12497 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12499 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12498 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12317 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12314 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12312 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12313 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12259 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12311 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12257 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12256 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12255 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12254 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12252 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12318 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12319 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11979 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11978 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11970 |      -      | Needs merge | Needs merge |      -      |      -      |
